,number,name,name_higher,short,desc,info,info2,year
79,3151,"Ammatillinen koulutus, valtionosuusrahoitus ",,,Valtionosuudella rahoitetun ammatillisen koulutuksen toiminta,"Koulutuksen järjestäjän valtionosuudella rahoitettava toiminta: Opetustoiminta, majoitus, sisäoppilaitosmuotoinen majoitus, erityisen tuen erityistehtävän mukainen majoitus, opiskelijaruokailu, oppisopimuskoulutuksen opintososiaaliset edut, kiinteistöjen (omat ja vuokratilat) kiinteistökustannukset, muut koulutuksen järjestäjän yhteiset kustannukset, oppisopimuskoulutuksen työnantajille maksetut korvaukset. Ei sisällä kuraattori- ja psykologipalvelua, joka raportoidaan omalla palveluluokallaan. ",,2022
78,3101,Lukiokoulutus,,,Lukiolain mukainen yleissivistävä koulutus,"Lukiokoulutukseen sisältyvät oppilaiden ja opiskelijoiden ohjaus opiskeluun, jatko-opintoihin ja työelämään liittyvissä kysymyksissä, maahanmuuttajille ja vieraskielisille kielelliset ja muut tarvittavat valmiudet tarjoava valmistava koulutus lukiokoulutukseen hakeutumiseksi.  Lukiokoulutus käsittää opiskelijaruokailun (sisältää ateriarahat työssäoppimisjaksoilla), asuntolatoiminnan ja opetussuunnitelman mukaisen opiskelijahuollon (sisältää mm. poissaolojen seurannan, kiusaamisen ja tapaturmien ehkäisyn, kouluympäristön terveellisyyden ja turvallisuuden tarkastamisen ja kouluyhteisön hyvinvoinnin edistämisen) sekä kiinteistöjen ylläpidon.

Palveluluokkaan kohdistetaan kaksoistutkintoa suorittavien lukiolaisten maksuosuudet ammatillisessa koulutuksessa suoritetuista kursseista sekä ammatillisessa koulutuksessa olevien opiskelijoiden lukiossa suorittamien kurssien tulot. Ei sisällä kuraattori- ja psykologipalvelua, joka raportoidaan omalla palveluluokallaan. ","HUOM! Sanastot.suomi.fi-palvelussa kuntien talousraportoinnin sanastossa huomautuksessa mainitaan sana opiskeluhuolto, mikä on korjattu tähän taulukkoon muotoon opiskelijahuolto.",2022
87,3452,Kesäyliopistokoulutus,,,"Kunnan tai kuntayhtymän ylläpitämä tai  avustama kesäyliopisto, joka saa valtionosuutta koulutuksen ylläpitämiseen.","Kesäyliopistot ovat alueellisen koulutustarjonnan oppilaitoksia, joiden toiminnassa painottuvat avoin korkeakouluopetus sekä alueen muihin osaamis- ja sivistystarpeisiin vastaaminen ottaen huomioon myös korkeakoulutettu väestö. Edellyttää ylläpitämislupaa.",,2022
80,3152,"Ammatillinen koulutus, muu toiminta",,,Muu kuin valtionosuudella rahoitettava toiminta,"Maksullinen palvelutoiminta, avustuksilla rahoitettava toiminta, tuotteiden ja palveluiden myynti, tilauskoulutus, koulutuksen järjestäjän liiketoiminta",,2022
81,3251,Kansalaisopistokoulutus,,,"Kunnan tai kuntayhtymän ylläpitämä tai avustama kansalaisopisto, joka saa valtionosuutta koulutuksen ylläpitämiseen.",Palveluluokka sisältää vapaan sivistystyön valtionosuuden sisällä toteutettavan taiteen perusopetuksen,Täydennetty huomautusta,2022
82,3252,Kansalaisopistokoulutuksen maksullinen palvelutoiminta,,,"Kansalaisopiston toteuttama koulutus tilaajan asettamilla ehdoilla, ts. tilaaja määrittelee koulutuksen tavoitteet, keskeiset sisällöt, rekrytoi osanottajat ja maksaa laskun sopimuksen mukaan. Oppilaitokset järjestävät maksullisena palvelutoimintana esimerkiksi työvoimahallinnon tilaamaa koulutusta, kunnan henkilöstökoulutusta ja yrittäjien muiden yhteisöjen ostamaa henkilöstökoulutusta.","Maksullisella palvelutoiminnalla tarkoitetaan sellaista toimintaa, jonka kansalaisopisto/kesäyliopisto toteuttaa koulutuksen tilaajan asettamilla ehdoilla, ts. tilaaja määrittelee koulutuksen tavoitteet, keskeiset sisällöt, rekrytoi osanottajat ja maksaa laskun sopimuksen mukaan. Oppilaitokset järjestävät maksullisena palvelutoimintana esimerkiksi työvoimahallinnon tilaamaa koulutusta, kunnan henkilöstökoulutusta ja yrittäjien ostamaa henkilöstökoulutusta.","Palvelukuvauksessa ilmaus ""yrittäjien"" muutettu muotoon ""muiden yhteisöjen""",2022
83,3253,Kansalaisopiston kotoutumissuunnitelmakoulutus,,,TE-toimiston/ kunnan viranomaisen hyväksymän kotoutumissuunnitelman mukaisennen omaehtoisennen koulutustoiminta.,"Kansalaisopiston järjestämä koulutus, joka on hyväksytty kotoutumisen edistämisestä annetun lain (1386/2010) 11 §:ssä tarkoitettuun opiskelijan kotoutumissuunnitelmaan.",,2022
84,3351,Taiteen perusopetus,,,"Opetustuntikohtaisen valtionosuuden piirissä oleva taiteen perusopetus sekä taiteen perusopetus, jonka rahoitus perustuu muuhun kuin opetustuntikohtaiseen valtionosuuteen ja sen edellyttämään opetus- ja kulttuuriministeriön myöntämään järjestämislupaan.  Kansalaisopistojen järjestämä taiteen perusopetus kohdennetaan kansalaisopistojen palveluokkaan. ","Taiteen perusopetuksen järjestäminen edellyttää, että opetus järjestetään taiteen perusopetuksen järjestämisluvan piirissä. Taiteen perusopetusta voi järjestää kunta tai muu taho, jolle opetus- ja kulttuuriministeriö on myöntänyt järjestämisluvan. Taiteen perusopetusta annetaan mm. musiikkioppilaitoksissa, kuvataidekouluissa, arkkitehtuurikouluissa, sanataidekokouluissa, mediataidekouluissa, tanssioppilaitoksissa, sirkustaidekouluissa, teatteritaidekouluissa ja käsityökouluissa Koulutuksen järjestäjän tulee hyväksyä kullekin taiteenalalle Opetushallituksen päättämien opetussuunnitelman perusteiden mukainen opetussuunnitelma. ",Täydennetty palvelukuvausta,2022
85,3352,Taiteen perusopetusta tukeva toiminta,,,"Taiteen perusopetuksen oppilaitoksen järjestämä taiteen perusopetusta tukeva muu taiteen edistämiseen liittyvä toiminta, joka ei ole opetussuunnitelmaperusteista taiteen perusopetusta.",Muu taiteen perusopetus ei sisällä kansalaisopistoissa järjestettävää taiteen perusopetusta. ,Täydennetty palvelukuvausta ja palvelun nimeä,2022
86,3451,Kansanopistokoulutus,,,"Kunnan tai kuntayhtymän ylläpitämä tai avustama kansanopisto, joka saa valtionosuutta koulutuksen ylläpitämiseen.","Kansanopistot ovat kokopäiväistä opetusta antavia sisäoppilaitoksia, jotka järjestävät nuorille ja aikuisille omaehtoisia opintoja, edistävät opiskelijoiden opiskeluvalmiuksia sekä kasvattavat heitä yksilöinä ja yhteiskunnan jäseninä. Edellyttää ylläpitämislupaa.",,2022
88,3453,Liikunnan koulutuskeskuksen antama koulutus,,,"Kunnan tai kuntayhtymän ylläpitämä liikunnan koulutuskeskus, joka saa valtionosuutta liikunnan koulutuskeskuksessa annettuun opetukseen","Liikunnan koulutuskeskukset ovat kokopäiväistä opetusta antavia valtakunnallisia sisäoppilaitoksia tai alueellisia oppilaitoksia, joiden tehtävänä on järjestää liikuntaharrastusta, hyvinvointia ja terveyttä edistävää koulutusta koko väestölle sekä liikunnan järjestö- ja seuratoimintaa palvelevaa koulutusta ja valmennustoimintaa. Edellyttää ylläpitämislupaa.",,2022
89,3454,Kotoutumiskoulutus,,,"suomen ja ruotsin kielen sekä tarvittaessa muuta opetusta, joka edistää työelämään ja jatkokoulutukseen pääsyä","Kotoutumiskoulutus voidaan järjestää myös omaehtoisena opiskeluna. Kotoutumiskoulutus voi sisältää myös aikaisemmin hankitun osaamisen tunnistamista ja tutkinnon tunnustamista, ammatillista suunnittelua ja uraohjausta.",,2022
67,2901,Hyvinvoinnin ja terveyden edistämisen asiantuntijapalvelut ja tuki,Erittelemätön sosiaali- ja terveystoiminta,,"sosiaali- ja terveydenhuollon ammattilaisten ja muiden kuntatoimijoiden toiminta hyvinvoinnin ja terveyden edistämisen asiantuntijana paikallisesti, alueellisesti ja valtakunnallisesti eri tehtävissä ja hankkeissa sekä mahdolliset järjestöavustukset","Sosiaali- ja terveydenhuollon ammattilaisten ja muiden kuntatoimijoiden antama asiantuntijatuki hyvinvoinnin, terveyden ja turvallisuuden edistämisen sekä ehkäisevän päihdetyön kysymyksissä. Sisältää myös sosiaalihuoltolain 1301/2014 7§ mukaisen rakenteellinen sosiaalityön. Hyvinvoinnin ja terveyden edistämisellä tarkoitetaan tässä Terveydenhuoltolain (1326/2010, 3§) mukaisesti väestöön, yhteisöihin ja elinympäristöön kohdistuvaa toimintaa, jonka tavoitteena on terveyden, työ- ja toimintakyvyn ylläpitäminen ja parantaminen sekä terveyden taustatekijöihin vaikuttaminen, sairauksien, tapaturmien ja muiden terveysongelmien ehkäiseminen ja mielenterveyden vahvistaminen sekä väestöryhmien välisten terveyserojen kaventaminen sekä suunnitelmallista voimavarojen kohdentamista terveyttä edistävällä tavalla. Ehkäisevän päihdetyön järjestämistä koskevan lain (523/2015, 2§) mukaan ehkäisevällä päihdetyöllä tarkoitetaan toimintaa, jolla vähennetään alkoholin, tupakka- ja nikotiinituotteiden ja huumeiden käyttöä sekä ongelmallista rahapelaamista ja niistä aiheutuvia terveydellisiä, sosiaalisia ja yhteiskunnallisia haittoja.",,2022
90,3455,Muu opetus- ja kasvatustoiminta,,,Muu kuin perusopetuslain mukainen kerhotoiminta tai aamu- ja iltapäivätoiminta koululaisille sekä taiteen ja kulttuurin harrastustunnit koulupäivän yhteydessä,Toiminta on luonteeltaan harrastustyyppistä ja vapaaehtoista. Opetuksen järjestäjät voivat järjestää peruskoulun oppilaille harrastustoimintaa koulujen vapaa-aikoina. Luokalle kohdistetaan  esi- ja perusopetuksen yhteydessä järjestetty toiminta jos se ei täytä perusopetuksen kerhotoiminnalle tai ap/ip toiminnalle annettuja määräyksiä. Koulupäivän yhteydessä toteutettavan harrastamisen Suomen mallin kustannukset sisällytetään tähän luokkaan.,Täydennetty huomautusta,2022
68,2902,Sosiaalipäivystys,Erittelemätön sosiaali- ja terveystoiminta,,Tähän laitetaan erillisten sosiaalipäivystysyksiköiden tai -tiimien toiminta. Sosiaalipäivystyksellä tarkoitetaan ympärivuorokautisesti kiireellisen ja välttämättömän avun turvaamiseksi järjestettyjä kiireellisiä sosiaalipalveluja kaikenikäisille.,"Sisältää myös SHL 29a§ mukaisen sosiaalipäivystyksen, jota on toteutettava terveydenhuollon päivystyksen yhteydessä Terveydenhuoltolain (1326/2010) 50 §:n (29.12.2016) mukaan määritellyissä laajoissa ympärivuorokautisissa päivystysyksiköissä sekä perusterveydenhuollon ja erikoissairaanhoidon yhteispäivystyksissä

Muiden palvelujen osana tehtävä päivystysluonteinen työ sisältyy ko. palvelun kustannuksiin.",,2022
49,2545,Suun terveydenhuollon palvelut,,, Suun terveydenhuollon ei-sairaalatasoiset erityis- ja perustason palvelut. ,"Suun terveydenhuoltoon sisältyvät Terveydenhuoltolain (1326/2010) 26 §:n mukaiset palvelut: 1) väestön suun terveyden edistäminen ja seuranta, 2) terveysneuvonta ja terveystarkastukset, 3) suun sairauksien tutkimus ja ehkäisy sekä hoito ja 4) potilaan erityisen tuen ja tutkimusten tarpeen varhainen tunnistaminen sekä potilaan hoito ja tarvittaessa jatkotutkimuksiin ja -hoitoon ohjaaminen. Suun terveydenhuollon perustason palvelut -luokkaan sisältyvät myös Terveydenhuoltolain (1326/2010) 15 §:n mukainen lapsen suun terveydentilan seuranta, 16 §:n mukainen kouluterveydenhuollon oppilaan suun terveydenhuolto sekä 17 §:n mukainen opiskeluterveydenhuollon suun terveydenhuolto. Palveluluokkaan on yhdistetty vuoden 2021 raportoinnissa käytössä olleen palveluluokat 2541 Suun terveydenhuollon erityistason palvelut ja 2542 Suun terveydenhuollon perustason palvelut pois lukien sairaalatasoinen suun terveydenhuolto, joka raportoidaan palveluluokalla somaattinen erikoissairaanhoito.",Uusi palveluluokka 2022 alkaen,2022
66,2900,Erittelemätön sosiaali- ja terveystoiminta,Erittelemätön sosiaali- ja terveystoiminta,,Erittelemätön-luokkaa voi käyttää ainoastaan kunnilta ja kuntayhtymiltä ostettavissa palveluissa.,"Luokalle kirjataan hyvinvoinnin ja terveyden edistämisen asiantuntijapalvelut ja tuki, sosiaalipäivystys, työikäisten sosiaalityö- ja ohjaus, sosiaali- ja potilasasiamiespalvelut ja työelämäosallisuutta tukevat palvelut ja kuntouttava työtoiminta.",Palvelukuvaus ja huomautus jaettu eri sarakkeisiin + kieliopillinen korjaus.,2022
53,2602,Somaattinen erikoissairaanhoito ovimassa 31.12.2021 asti,Lakkautettu,,"somaattisen erikoissairaanhoidon avohoito, vuodeosastohoito, päiväkirurgia sekä päiväsairaanhoito (pl. suun terveydenhuollon erityistason palvelut) muualla kuin lastentautien yksiköissä. 
Tähän luokkaan kirjataan myös perusterveydenhuollossa toteutettu erikoissairaanhoito.","Somaattisen erikoissairaanhoidon avohoidolla tarkoitetaan vastaanottopalveluja, joihin voi toisinaan liittyä polikliinisiä toimenpiteitä kuten suolikanavan tähystystoimenpiteitä (mahalaukku, paksusuoli), keuhkoputken tähystyksiä, sydämen ultraäänitutkimuksia tai muita vastaavan kaltaisia tutkimuksia tai hoitoja. Toimenpiteisiin voi liittyä paikallispuudutteiden käyttö ja lievä sedaatio väsyttävillä ja rauhoittavilla lääkkeillä. 

Päiväkirurgialla tarkoitetaan operatiivisten erikoisalojen pääosin kiireettömiä toimenpiteitä ja leikkauksia, joissa potilaat saapuvat toimenpiteeseen leikkauspäivänä ja kotiutuvat pääsääntöisesti saman päivän aikana.  Toimenpiteissä voidaan potilas nukuttaa tai käyttää laajempia johtopuudutuksia tai selkäydinpuudutuksia. Päiväkirurgiaa sopivat esimerkiksi sappileikkaukset ja tyräleikkaukset. Osa päiväkirurgista leikkauksista voidaan tehdä kokonaan paikallispuudutuksessa,  kuten kaihileikkaukset. 

Avohoitona voidaan toteuttaa päiväsairaalatoimintaa, jossa potilas saa hoitoja usein toistetusti päiväsairaalassa, mutta kotiutuu yöksi. Tällöin voidaan toteuttaa vaativimpia ja aikaa vieviä hoitoja ja tutkimuksia, joissa potilas tarvitsee lepopaikan, mutta ei hoito ei edellytä yöpymistä sairaalassa. Hän voi yöpyä kotona tai potilashotellissa. 

Vuodeosastohoidolla tarkoitetaan laitoshoitoa, jossa potilas sisäänkirjoitetaan sairaalaan tämän saapuessa vuodeosastolle ja uloskirjoitetaan vuodeosastolta lähtiessä. 

Keskitetyt eli perusterveydenhuollon ja erikoissairaanhoidon yhteisten apuvälineyksiköiden kustannukset kirjataan tähän luokkaan. Perusterveydenhuollon apuvälineyksiköt kirjaavat kustannukset perusterveydenhuollon lääkinnällinen avokuntoutus -luokkaan. 

Palveluluokalle kohdistetaan myös aikuisten ja lasten obduktiot. ","Palveluluokka on päätetty lakkauttaa tilikauden 2022 alusta lähtien, mutta yhdenmukaisuuden vuoksi se on sisällytetty taulukkoon.",2022
92,3501,Kirjastopalvelut,,,"Yleisten kirjastojen tarjoamat palvelut. Toiminta, jota säätelee laki yleisistä kirjastoista 1492/2016. ","Kunta voi järjestää palveluja itse, yhteistyössä muiden kuntien kanssa tai muulla tavoin.",Täydennetty palvelukuvausta,2022
43,2536,Perustason vastaanottopalvelut,Erittelemätön perusterveydenhuollon avohoito,,Perustason terveydenhuollon avovastaanottopalvelut,"Sisältää perustason avovastaanottopalvelut pl. ""Perustason lääkinnällinen avokuntoutus"" sekä lasten- ja äitiysneuvolapalvelut sekä koulu- ja opiskeluterveydenhuollon palveluluokkien palvelut. Luokka sisältää myös kiirevastaanottotoiminnan ja ilta- tai viikonloppuvastaanottotoiminnan.
Palveluja ovat:
1) terveydenhuoltolain 13 §:ssä tarkoitettu terveysneuvonta ja terveystarkastukset; 
2) yleislääketieteen alaan kuuluva, terveydenhuollon ammattihenkilön suorittama, vastaanotolla, kotikäynneillä tai etäyhteyksien avulla toteutettava asiakkaiden oireiden, toimintakyvyn ja sairauksien tutkimus, toteaminen ja hoito, pl. kotisairaalahoito;
3) edellä mainituissa kohdissa tarkoitettuihin palveluihin liittyvä terveydenhuoltolain 29 §:n 2 momentin 1 kohdassa tarkoitettu kuntoutusneuvonta ja -ohjaus ja 2 kohdassa tarkoitettu toiminta- ja työkyvyn sekä kuntoutustarpeen arviointi;
4) terveydenhuoltolain 22 §:ssä tarkoitettujen todistusten antaminen silloin kun ne liittyvät edellä mainituissa kohdissa tarkoitettuihin palveluihin;
5) edellä mainittuihin palveluihin kuuluvat laboratorio- ja kuvantamispalvelut.
6) muut kuin lääkinnälliseen kuntoutukseen liittyvät terapiat, esim. jalkaterapia

Palveluluokkaan kohdistetaan myös sosiaalihuollon laitos-, asumis- ja kotiin vietäviin palveluihin tarjotut perusterveydenhuollon palvelut (mm. lääkäri-, laboratorio- ja kuvantamispalvelut).",,2022
44,2537,Työterveyshuolto,Erittelemätön perusterveydenhuollon avohoito,,"Työterveyshuollon palvelut, jotka järjestetään kunnan järjestämisvastuun perusteella  (terveydenhuoltolaki 1326/2010, § 18 ) kunnan alueen työnantajille, yrittäjille ja omaa työtään tekeville sekä työterveyshuollon palvelut, jotka järjestetään työnantajan roolissa omalle henkilökunnalle (työterveyshuoltolaki 1383/2001, §4 )","Terveydenhuoltolain perusteella järjestettävän työterveyshuollon kunta voi tuottaa itse tai yhdessä toisen kunnan kanssa (18 §, 1 ja 2 momentti) tai ostaa palveluntuottajalta (18§, 1-3 mom). Jos kunta tuottaa 18§ 3 momentin mukaisia palveluja, pitää toiminta yhtiöittää. 

Työterveyshuoltolain perusteella järjestettävät työterveyshuoltopalvelut (työnantajan roolissa omalle henkilökunnalle järjestetyn työterveyshuollon) kunta voi tuottaa yksin tai yhdessä toisen kunnan kanssa tai ostaa muulta palveluntuottajalta. Nämä omalle henkilökunnalle järjestetyn työterveyshuollon kustannukset kohdennetaan suoraan tai edelleen varsinaisille palveluluokille kustannuslaskentasuosituksen mukaan.
",,2022
45,2538,Äitiys- ja lastenneuvolapalvelut,Erittelemätön perusterveydenhuollon avohoito,,"Raskaana olevien naisten, lasta odottavien perheiden sekä alle oppivelvollisuusikäisten lasten ja heidän perheidensä neuvolapalvelut","Äitiys- ja lastenneuvolapalvelut (pl. suun terveydenhuollon palvelut) sisältävät seuraavat terveydenhuoltolain (1326/2010) 15§:n mukaiset palvelut: 1)  sikiön terveen kasvun, kehityksen ja hyvinvoinnin sekä raskaana olevan ja synnyttäneen naisen terveyden määräajoin toteutettava ja yksilöllisen tarpeen mukainen seuranta ja edistäminen, 2) lapsen terveen kasvun, kehityksen ja hyvinvoinnin edistäminen sekä seuranta, 3) vanhemmuuden ja perheen muun hyvinvoinnin tukeminen, 4) lapsen kodin ja muun kasvu- ja kehitysympäristön sekä 5) perheen elintapojen terveellisyyden edistäminen sekä lapsen ja perheen erityisen tuen ja tutkimusten tarpeen varhainen tunnistaminen sekä lapsen ja perheen tukeminen ja tarvittaessa tutkimuksiin tai hoitoon ohjaaminen. Äitiys- ja lastenneuvolapalveluiden käyntitiedot raportoidaan THL:n Avohilmon palvelumuodoissa T21 (Äitiysneuvola) ja T22 (Lastenneuvola). Terveydenhuoltolain 15§:n mukainen lapsen suun terveydentilan seuranta sisällytetään palveluluokkaan ""Suun terveydenhuollon palvelut"".","HUOM! Sanastot.suomi.fi-palvelussa kuntien talousraportoinnin sanastossa huomautuksen viimeinen lause on muodossa ""Suun terveydenhuollon perustason palvelut"". Tässä taulukossa huomautuksesta on poistettu sana ""perustason"", mitä muotoa tulee noudattaa..",2022
46,2540,Erittelemätön suun terveydenhuolto voimassa 31.12.2021 asti,Lakkautettu,,,,,2022
47,2541,Suun terveydenhuollon erityistason palvelut voimassa 31.12.2021 asti,Lakkautettu,,,,,2022
48,2542,Suun terveydenhuollon perustason palvelut voimassa 31.12.2021 asti,Lakkautettu,,,,,2022
50,2561,Perustason vuodeosastohoito,,,perustason vuodeosastohoito,"Ei sisällytetä terveyskeskusten erikoislääkärijohtoisten yksiköiden vuodeosastohoitoa, joka kirjataan palveluluokkaan ""Somaattinen erikoissairaanhoito"". Luokka sisältää saattohoidon tai muun palliatiivisen hoidon.",,2022
51,2600,Erittelemätön erikoissairaanhoito,Erittelemätön erikoissairaanhoito,,Erittelemätön-luokkaa voi käyttää ainoastaan kunnilta ja kuntayhtymiltä ostettavissa palveluissa.,"Luokalle kirjataan aikuispsykiatrinen erikoissairaanhoito, somaattinen erikoissairaanhoito, ensihoitokeskus, ensihoitopalvelu,lastenpsykiatrinen ja nuorisopsykiatrinen erikoissairaanhoito ja ympärivuorokautiset päivystyspalvelut.",Palvelukuvaus ja huomautus jaettu eri sarakkeisiin. ,2022
52,2601,Aikuispsykiatrinen erikoissairaanhoito,Erittelemätön erikoissairaanhoito,,erikoislääkärijohtoisessa psykiatrisessa yksikössä toteutettu 23 vuotta täyttäneiden psykiatrinen erikoissairaanhoito poikkeuksena nuorisopsykiatria. Aikuispsykiatriassa hoidetut nuorisopsykiatriset potilaat raportoidaan tässä luokassa.,"Psykiatrisessa erikoissairaanhoidossa annettavat palvelut palvelumuodosta riippumatta: Sisältää Hilmo-erikoisalat 70 (Psykiatria), 70F (Geriatrinen psykiatria) ja 70Z (Oikeuspsykiatria). Lisäksi tässä luokassa raportoidaan ne nuorisopsykiatrian (ea=74) tapahtumat, jotka hoidettu aikuispsykiatrian osastolla.",,2022
54,2603,Ensihoitokeskus,Erittelemätön erikoissairaanhoito,,erityisvastuualueen ensihoitokeskuksen toiminta,Erityisvastuualueen sairaanhoitopiirien kuntayhtymien on sovittava ensihoitokeskuksen tehtävien järjestämisestä erikoissairaanhoidon järjestämissopimuksessa. ,,2022
65,2706,Tupakkalain valvonta,Erittelemätön ympäristöterveydenhuolto,,"Tupakkalain valvonta ja sen mukainen myyntilupien käsitteleminen, lupavalvonta sekä tupakointikieltojen valvonta, tiedottaminen, opastus ja neuvonta sekä valvontasuunnitelmien laatiminen. Lääkelain mukaisten nikotiinivalmisteiden valvonta ja sen mukainen myyntilupien käsitteleminen, lupavalvonta sekä nikotiinivalmisteiden myyntikieltojen valvonta, tiedottaminen, opastus ja neuvonta sekä valvontasuunnitelmien laatiminen.",Sisältää myös koulutuksen ja valmennuksen.,Täydennetty palvelukuvausta,2022
55,2604,Ensihoitopalvelu,Erittelemätön erikoissairaanhoito,,äkillisesti sairastuneen tai loukkaantuneen potilaan ensihoitopalvelu ja siihen kuuluvat potilassiirrot sekä ensivastetoiminta,"Ensihoitopalveluun sisältyy äkillisesti sairastuneen tai loukkaantuneen potilaan hoidon tarpeen arviointi ja kiireellinen hoito ensisijaisesti terveydenhuollon laitoksen ulkopuolella, tarvittaessa potilaan kuljettaminen lääketieteellisesti arvioiden tarkoituksenmukaisimpaan hoitoyksikköön ja äkillisesti sairastuneen tai vammautuneen potilaan jatkohoitoon liittyvät siirrot, silloin kun potilas tarvitsee siirron aikana vaativaa ja jatkuvaa hoitoa tai seurantaa. Muu määritys Terveydenhuoltolaki (1326/2010) ja Laki terveydenhuoltolain muuttamisesta (1516/2016) 40§. Ensivastetoiminnalla tarkoitetaan hätäkeskuksen kautta hälytettävissä olevan muun yksikön kuin ambulanssin hälyttämistä äkillisesti sairastuneen tai loukkaantuneen potilaan tavoittamisviiveen lyhentämiseksi ja yksikön henkilöstön antamaa hätäensiapua, joka on määritelty ensihoidon palvelutasopäätöksessä. (Terveydenhuoltolaki 1326/2010, 40 §)                                                                                                                 ",Täydennetty palvelukuvausta ja huomautusta,2022
56,2605,Lastentautien yksikössä annettu somaattinen erikoissairaanhoito voimassa 31.12.2021 asti,Lakkautettu,,,,,2022
57,2606,Lastenpsykiatrinen ja nuorisopsykiatrinen erikoissairaanhoito,Erittelemätön erikoissairaanhoito,,erikoislääkärijohtoisessa psykiatrisessa yksikössä toteutettu lastenpsykiatrinen ja alle 23-vuotiaiden nuorisopsykiatrinen hoito,Lasten- ja nuorisopsykiatrian palvelut palvelumuodosta riippumatta: Sisältää Hilmo-erikoisalat 74 (Nuorispsykiatria) ja 75 (Lastenpsykiatria). Palveluluokkaan ei sisällytetä aikuispsykiatrisessa erikoissairaanhoidossa alle 23-vuotiaille annettavia palveluja. ,,2022
58,2607,Ympärivuorokautiset päivystyspalvelut,Erittelemätön erikoissairaanhoito,,"Ympäri vuorokauden toimivassa laajassa päivystyksessä, yhteispäivystyksessä tai ympäri vuorokauden toimivassa perusterveydenhuollon tai akuuttilääketieteen päivystyksessä toteutettava kiireellinen sairaanhoito. Sisältää myös kiireellisen päivystysyksikössä annetun suun terveydenhuollon, mielenterveyshoidon, päihdehoidon ja psykososiaalisen tuen, joka on annettava apua tarvitsevalle potilaalle hänen asuinpaikastaan riippumatta","Kiireellisellä hoidolla tarkoitetaan äkillisen sairastumisen, vamman, pitkäaikaissairauden vaikeutumisen tai toimintakyvyn alenemisen edellyttämää välitöntä arviota ja hoitoa, jota ei voida siirtää ilman sairauden pahenemista tai vamman vaikeutumista. Tähän ei lasketa yhteispäivystyksessä annettua sosiaalipäivystystä, sillä se on osa muuta sosiaalipäivystystä. Palveluluokalle kohdistetaan myös päivystysluontoinen osastotoiminta sekä päivystyskäyntien kustannukset akuuttilääketieteen erikoisalan lisäksi myös muilta erikoisaloilta.",Täydennetty palvelukuvausta,2022
59,2612,Somaattinen erikoissairaanhoito,Erittelemätön erikoissairaanhoito,,"Somaattisen erikoissairaanhoidon avohoito, vuodeosastohoito, päiväkirurgia sekä päiväsairaanhoito, pl. psykiatrian erikoisalat 70, 74 ja 75. Tähän luokkaan kirjataan myös perusterveydenhuollossa toteutettu erikoissairaanhoito. ","Tähän palveluluokkaan on liitetty vuoden 2021 raportoinnissa käytössä ollut palveluluokka 2602 Somaattinen erikoissairaanhoito ja 2605 Lastentautien yksikössä annettu somaattinen erikoissairaanhoito sekä sairaalatasoinen suun terveydenhuolto, joka on vuoden 2021 raportoinnissa raportoitu osana palveluluokkaa 2541 suun terveydenhuollon erityistason palvelut.",Uusi palveluluokka 2022 alkaen,2022
60,2700,Erittelemätön ympäristöterveydenhuolto,Erittelemätön ympäristöterveydenhuolto,,Erittelemätön-luokkaa voi käyttää ainoastaan kunnilta ja kuntayhtymiltä ostettavissa palveluissa.,"Luokalle kirjataan elintarvikevalvonta- ja neuvonta, eläinlääkäripalvelut, eläinten terveyden ja hyvinvoinnin valvonta, terveydensuojelun edistäminen ja valvonta ja tupakkalain valvonta.",Palvelukuvaus ja huomautus jaettu eri sarakkeisiin. ,2022
61,2701,Elintarvikevalvonta ja -neuvonta,Erittelemätön ympäristöterveydenhuolto,,"elintarvikkeiden alkutuotannon, valmistuksen, muun käsittelyn, maahantuonnin, maastaviennin, markkinoinnin, kuljetuksen, kaupanpidon, tarjoilun ja muun luovutuksen valvominen, kasvisten kauppanormien valvonta, varautuminen ja valvontasuunnitelmien laadinta, ruokamyrkytysepidemioiden selvittäminen, tiedottaminen, opastus ja neuvonta","Palvelu sisältää edellä mainittuihin liittyvän koulutuksen, valmennuksen ja valvonnan.",,2022
62,2702,Eläinlääkäripalvelut,Erittelemätön ympäristöterveydenhuolto,,"peruseläinlääkäripalvelu, kiireellinen eläinlääkäriapu ja eläinlääkäripäivystys, tiedottaminen, opastus ja neuvonta","Palvelu sisältää matkasubventiot, palkkauskustannukset, ostopalvelut ja muut kustannukset. ",,2022
63,2703,Eläinten terveyden ja hyvinvoinnin valvonta,Erittelemätön ympäristöterveydenhuolto,,"eläinten terveyden (ml. eläimistä saatavien sivutuotteiden) ja eläinten hyvinvoinnin valvonta muuhun kuin viljelijätukiin liittyvä eläinten merkinnän ja rekisteröinnin valvonta, palvelu sisältää eläinten merkinnän ja rekisteröinnin valvonnan, eläinten terveyden valvonnan sekä eläinten hyvinvoinnin valvonnan, tarttuvien eläintautien ennaltaehkäisyn ja epidemioiden selvittelyn, zoonoosit, varautumisen ja valvontasuunnitelmaien laatimisen, tiedottamisen, opastuksen ja neuvonnan.","Palvelu sisältää edellä mainittuun liittyvän koulutuksen, valmennuksen ja valvonnan.",,2022
